"Po¯.";"ID";"JmÈno";"T˝m";"G";"PAB";"AB";"H";"BA";"2B";"3B";"HR";"TB";"SA";"R";"RBI";"BB";"HP";"SO";"SOA";"SH";"SF";"SB";"CS";"SBA";"OBP";
"1";"266";"Boda Michal";"Hroöi";"1";"1";"1";"1";"1,000";"0";"0";"0";"1";"1,000";"1";"2";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"1,000";
"2";"2732";"Mina¯Ìk Marek";"Tempo";"8";"1";"1";"1";"1,000";"1";"0";"0";"2";"2,000";"1";"2";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"1,000";
"3";"10800";"Uhnav˝ Jakub";"Eagles";"1";"1";"1";"1";"1,000";"0";"0";"0";"1";"1,000";"1";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"1,000";
"4";"6879";"äkaroupka Martin";"Technika";"2";"4";"4";"2";"0,500";"0";"0";"0";"2";"0,500";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,500";
"5";"7192";"Satoria MatÏj";"Arrows";"11";"2";"2";"1";"0,500";"0";"0";"0";"1";"0,500";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,500";
"6";"4173";"äimek Ji¯Ì";"Skokani";"3";"2";"2";"1";"0,500";"0";"0";"0";"1";"0,500";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,500";
"7";"4868";"Winkler David";"Nuclears";"1";"2";"2";"1";"0,500";"0";"0";"0";"1";"0,500";"0";"1";"0";"0";"1";"0,500";"0";"0";"0";"0";"0,000";"0,500";
"8";"4625";"Vavruöa Daniel";"Kotl·¯ka";"22";"101";"78";"37";"0,474";"14";"0";"4";"63";"0,808";"33";"25";"19";"1";"4";"0,051";"0";"3";"1";"0";"1,000";"0,564";
"9";"14951";"Hubbard Dondrei";"Draci";"22";"82";"72";"32";"0,444";"11";"2";"2";"53";"0,736";"18";"21";"3";"2";"5";"0,069";"0";"5";"11";"0";"1,000";"0,451";
"10";"3062";"Ondr·Ëek Michal";"Hroöi";"18";"82";"73";"32";"0,438";"3";"2";"0";"39";"0,534";"18";"6";"7";"1";"12";"0,164";"1";"0";"14";"0";"1,000";"0,494";
"11";"13977";"Joyce Terrell";"Arrows";"24";"87";"69";"30";"0,435";"5";"2";"13";"78";"1,130";"25";"32";"16";"1";"12";"0,174";"0";"1";"5";"0";"1,000";"0,540";
"12";"4999";"Z˝ma Petr";"Eagles";"22";"106";"95";"41";"0,432";"11";"4";"7";"81";"0,853";"29";"30";"5";"2";"16";"0,168";"0";"4";"2";"1";"0,667";"0,453";
"13";"7407";"Novotn˝ Radim";"Arrows";"20";"64";"56";"24";"0,429";"4";"1";"0";"30";"0,536";"19";"11";"4";"1";"9";"0,161";"2";"1";"2";"1";"0,667";"0,468";
"14";"2380";"Laube Martin";"Eagles";"4";"16";"12";"5";"0,417";"1";"0";"0";"6";"0,500";"5";"1";"2";"1";"2";"0,167";"1";"0";"1";"0";"1,000";"0,533";
"15";"5733";"JunÏc Tom·ö";"Arrows";"24";"106";"87";"36";"0,414";"11";"3";"3";"62";"0,713";"30";"18";"14";"2";"14";"0,161";"0";"3";"0";"1";"0,000";"0,491";
"16";"4847";"Vykoukal Michael";"Arrows";"22";"97";"75";"30";"0,400";"6";"0";"4";"48";"0,640";"27";"26";"15";"1";"9";"0,120";"1";"5";"3";"1";"0,750";"0,479";
"17";"15047";"Cameron Daniel";"Nuclears";"16";"68";"55";"22";"0,400";"6";"1";"1";"33";"0,600";"13";"11";"8";"3";"2";"0,036";"2";"0";"1";"0";"1,000";"0,500";
"18";"2543";"MalÌk Jakub";"Arrows";"20";"76";"69";"27";"0,391";"2";"1";"5";"46";"0,667";"16";"21";"6";"1";"9";"0,130";"0";"0";"2";"0";"1,000";"0,447";
"19";"14026";"Wittig Joseph";"Eagles";"20";"72";"64";"25";"0,391";"8";"2";"0";"37";"0,578";"17";"12";"6";"2";"4";"0,063";"0";"0";"11";"2";"0,846";"0,458";
"20";"471";"»ech Petr";"Draci";"22";"94";"77";"30";"0,390";"5";"3";"1";"44";"0,571";"19";"22";"12";"2";"4";"0,052";"0";"3";"1";"1";"0,500";"0,468";
"21";"2868";"Navr·til Aleö";"Arrows";"23";"99";"88";"33";"0,375";"3";"0";"2";"42";"0,477";"17";"23";"7";"0";"4";"0,045";"1";"3";"6";"2";"0,750";"0,408";
"22";"7766";"Klanica Martin";"Draci";"7";"8";"8";"3";"0,375";"0";"0";"0";"3";"0,375";"2";"1";"0";"0";"1";"0,125";"0";"0";"2";"1";"0,667";"0,375";
